"","group_cd","code","code_nm","use_yn","sort_order"
"1","vehicle_type","0","미선택","y",1
"2","vehicle_type","1","다마스","y",2
"3","vehicle_type","2","라보","y",3
"4","vehicle_type","3","카고","y",4
"5","vehicle_type","4","윙바디","y",5
"6","vehicle_type","5","탑","y",6
"7","vehicle_type","6","호로","y",7
"8","vehicle_type","7","냉장","y",8
"9","vehicle_type","8","냉동","y",9
"10","vehicle_type","9","트레일러","y",10
"11","vehicle_type","10","더블데크 트레일러","y",11
"12","vehicle_option","0","미선택(기본값)","y",1
"13","vehicle_option","0000","미선택","y",2
"14","vehicle_option","0001","장축","y",3
"15","vehicle_option","0002","플러스","y",4
"16","vehicle_option","0003","플러스 장축","y",5
"17","vehicle_option","0004","하이탑","y",6
"18","vehicle_option","0005","로우탑","y",7
"19","vehicle_option","1004","리프트&로우탑","y",8
"20","status","0","기타","y",1
"21","status","1","운송중","y",2
"22","status","2","대기중","y",3
"23","rp_uturn_lane","0","모든 차로 유턴 허용","y",1
"24","rp_uturn_lane","1","1차로 유턴 허용","y",2
"25","rp_uturn_lane","2","2차로 유턴 허용","y",3
"26","rp_uturn_lane","3","3차로 유턴 허용","y",4
"27","rp_uturn_lane","4","4차로 이상 유턴 허용","y",5
"28","pnd_loc_type_cd","P","픽업지","y",1
"29","pnd_loc_type_cd","D","배송지","y",2
"30","order_type","0","미선택","y",1
"31","order_type","1","식품","y",2
"32","order_type","2","농산물","y",3
"33","order_type","3","축산물","y",4
"34","order_type","4","수산물","y",5
"35","order_type","5","공산품","y",6
"36","order_type","6","의약품","y",7
"37","order_type","7","기타","y",8
"38","order_temp","0","미선택","y",1
"39","order_temp","1","상온","y",2
"40","order_temp","2","영상(15℃~)(온풍기)","y",3
"41","order_temp","3","냉장(~5℃)","y",4
"42","order_temp","4","냉동(~-18℃)","y",5
"43","opt_pickup_and_delivery_policy","NONE","기준없음","y",1
"44","opt_pickup_and_delivery_policy","LIFO","후입선출","y",2
"45","opt_pickup_and_delivery_policy","FIFO","선입선출","y",3
"46","opt_packaging_option","111","합짐→릴레이→역제안","y",1
"47","opt_packaging_option","110","합짐→릴레이","y",2
"48","opt_packaging_option","101","합짐→역제안","y",3
"49","opt_packaging_option","100","합짐만","y",4
"50","opt_packaging_option","011","릴레이→역제안","y",5
"51","opt_packaging_option","010","릴레이만","y",6
"52","opt_packaging_option","001","역제안만","y",7
"53","opt_mode","Preplanning","선계획","y",1
"54","opt_mode","Dynamic","실시간","y",2
"55","opt_calculating_reduction","0","계산 안함","y",1
"56","opt_calculating_reduction","1","합짐/릴레이 결과만 비교","y",2
"57","opt_calculating_reduction","2","합짐/릴레이 역제안 결과 비교","y",3
"58","opt_calculating_reduction","3","합짐/릴레이 단건  결과 비교","y",4
"59","loading_type","0","미선택","y",1
"60","loading_type","1","수작업","y",2
"61","loading_type","2","지게차","y",3
"62","enable_rev_nego","0","미입력","y",1
"63","enable_rev_nego","1","불허","y",2
"64","enable_rev_nego","2","허용","y",3
"65","enable_pack","0","미입력","y",1
"66","enable_pack","1","불허","y",2
"67","enable_pack","2","허용","y",3
"68","box_type","0","미선택","y",1
"69","box_type","1","팔렛트","y",2
"70","box_type","2","포장박스","y",3
"71","box_size","0","미선택","y",1
"72","box_size","1","소","y",2
"73","box_size","2","중","y",3
"74","box_size","3","대","y",4
